dish,ingredient,quantity_g,quantity_basis,source_type,source_reference,mapping_status,confidence,notes
Cucumber Salad,Cucumber,60.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Fresh sliced cucumber
Cucumber Salad,Lemon,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Lemon juice dressing
Custard,"Milk, whole, cow",80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Whole milk base
Custard,"Sugar, refined",12.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Refined sugar
Custard,Sweet corn,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Cornstarch base proxy
Dahi Aloo,Potato,60.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Boiled potato
Dahi Aloo,Curd / Dahi,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,APPROXIMATE,0.9,Curd gravy
Dahi Aloo,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Dahi Aloo,Cumin seeds,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Tempering cumin
Dal Makhani,"Black gram, whole",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Raw sabut urad issuance
Dal Makhani,Kidney beans,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Raw rajma component
Dal Makhani,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato puree base
Dal Makhani,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion gravy base
Dal Makhani,Butter,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Butter enrichment
Dal Makhani,"Milk, whole, cow",10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Milk/cream enrichment
Dal Makhani,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Dal Maratha,"Red gram, dal",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Raw toor dal issuance
Dal Maratha,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato base
Dal Maratha,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion base
Dal Maratha,"Coconut, dry",5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Roasted desiccated coconut
Dal Maratha,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Dal Maratha,Garlic,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Garlic cloves
Dal Palak,"Red gram, dal",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Raw toor dal issuance
Dal Palak,Spinach,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Fresh chopped palak
Dal Palak,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato base
Dal Palak,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion base
Dal Palak,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Danish Bun,Commercial bun,45.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.9,Commercial bakery sweet bun
Dhaba Dal,"Red gram, dal",10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Toor dal component
Dhaba Dal,"Bengal gram, dal",10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Chana dal component
Dhaba Dal,"Green gram, dal",10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Moong dal component
Dhaba Dal,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato base
Dhaba Dal,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion base
Dhaba Dal,Ghee,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Tadka ghee
Dhaba Dal,Garlic,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Garlic cloves
Dum Aloo,Potato,60.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Baby/cut potato
Dum Aloo,Tomato,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato gravy
Dum Aloo,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion base
Dum Aloo,Curd / Dahi,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,APPROXIMATE,0.9,Curd gravy base
Dum Aloo,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Egg Bhurji,"Egg, whole",50.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Single whole scrambled egg
Egg Bhurji,Onion,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Finely chopped onion
Egg Bhurji,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Finely chopped tomato
Egg Bhurji,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Egg Bhurji,Green chilli,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Green chilli
Egg Curry,"Egg, whole",50.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Single whole egg
Egg Curry,Tomato,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato curry base
Egg Curry,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion gravy base
Egg Curry,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Egg Curry,Ginger,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Ginger
Egg Curry,Garlic,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Garlic
Fat Spread,Commercial fat spread,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,UNMAPPED,0.0,Commercial table fat spread portion
Fryums,Commercial fryums,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,UNMAPPED,0.0,Fried extruded snack portion
Ghiya Masala,Bottle gourd,75.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Diced bottle gourd / lauki
Ghiya Masala,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato base
Ghiya Masala,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion base
Ghiya Masala,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Gobhi Adraki,Cauliflower,65.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Cauliflower florets
Gobhi Adraki,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato base
Gobhi Adraki,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion base
Gobhi Adraki,Ginger,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Julienned ginger
Gobhi Adraki,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Gobhi Matar,Cauliflower,45.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Cauliflower florets
Gobhi Matar,Green peas,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Fresh green peas
Gobhi Matar,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato base
Gobhi Matar,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion base
Gobhi Matar,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Green Chilli,Green chilli,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Fresh green chilli garnish
Green Peas Masala,Green peas,60.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Fresh green peas
Green Peas Masala,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato gravy
Green Peas Masala,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion gravy
Green Peas Masala,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Green Salad,Cucumber,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Fresh sliced cucumber
Green Salad,Tomato,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Fresh sliced tomato
Green Salad,Onion,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Fresh sliced onion
Green Salad,Lemon,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Lemon juice dressing
Gulab Jamun,Khoa,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Mawa / khoa base
Gulab Jamun,"Wheat flour, refined",10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Maida binder
Gulab Jamun,"Sugar, refined",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Sugar syrup uptake
Gulab Jamun,Ghee,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Frying ghee uptake
Halwa,"Wheat, semolina",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Suji / semolina
Halwa,Ghee,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Ghee
Halwa,"Sugar, refined",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Refined sugar
Jam,Commercial jam,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,UNMAPPED,0.0,Single commercial fruit jam portion
Jeera Aloo,Potato,70.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Diced potato
Jeera Aloo,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Jeera Aloo,Cumin seeds,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Cumin tempering
Jeera Raita,Curd / Dahi,95.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,APPROXIMATE,0.9,Curd base
Jeera Raita,Cumin seeds,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Roasted cumin powder
Jeera Rice,"Rice, raw/parboiled",50.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Standard single serving raw rice grain
Jeera Rice,Ghee,3.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Tempering fat
Jeera Rice,Cumin seeds,1.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Cumin tempering
Jhal Muri,"Rice, puffed",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Puffed rice base
Jhal Muri,Groundnut / Peanut,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Roasted peanuts
Jhal Muri,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Finely chopped onion
Jhal Muri,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Finely chopped tomato
Jhal Muri,Vegetable oil,4.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Mustard oil dressing
Jhal Muri,Green chilli,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Chopped green chilli
Kachumber Salad,Cucumber,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Diced cucumber
Kachumber Salad,Tomato,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Diced tomato
Kachumber Salad,Onion,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Diced onion
Kachumber Salad,Lemon,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Lemon juice dressing
Kadhai Paneer,Paneer,40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Fresh paneer cubes
Kadhai Paneer,"Capsicum, green",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Bell pepper chunks
Kadhai Paneer,Tomato,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato gravy
Kadhai Paneer,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion chunks
Kadhai Paneer,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Kadhai Veg,"Capsicum, green",20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Bell pepper chunks
Kadhai Veg,Cauliflower,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Cauliflower florets
Kadhai Veg,Carrot,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Carrot
Kadhai Veg,Green peas,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Green peas
Kadhai Veg,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato base
Kadhai Veg,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion chunks
Kadhai Veg,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Kadhi Pakora,"Bengal gram, flour",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Besan for kadhi and pakora
Kadhi Pakora,Curd / Dahi,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,APPROXIMATE,0.9,Sour curd for kadhi
Kadhi Pakora,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Pakora onion
Kadhi Pakora,Vegetable oil,8.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Frying and cooking oil
Kesari Kheer,"Rice, raw/parboiled",20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Raw rice grains
Kesari Kheer,"Milk, whole, cow",80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Whole milk base
Kesari Kheer,"Sugar, refined",12.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Refined sweetening sugar
Khata Mitha Kaddu,Pumpkin,80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Diced orange pumpkin
Khata Mitha Kaddu,Jaggery,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Jaggery for sweet-sour profile
Khata Mitha Kaddu,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Khichdi,"Rice, raw/parboiled",35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Raw rice grain
Khichdi,"Green gram, dal",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Split moong dal
Khichdi,Ghee,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Tempering ghee
Lobiya Dal,Cowpea,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Raw cowpea / lobiya issuance
Lobiya Dal,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato base
Lobiya Dal,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion base
Lobiya Dal,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Malka Masoor,"Lentil, dal",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,1.0,Raw split red masoor dal issuance
Malka Masoor,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato base
Malka Masoor,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion base
Malka Masoor,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
Masala Aloo,Potato,65.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Diced potato
Masala Aloo,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Tomato gravy
Masala Aloo,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Onion base
Masala Aloo,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_ASSUMPTION,PROJECT_PORTION_ASSUMPTIONS,VERIFIED,0.95,Cooking oil
