dish,ingredient,quantity_g,basis,source,source_type,reason,notes
Coffee,"Milk, whole, cow",80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Milk component in coffee cup,Direct match to cow whole milk
Coffee,"Sugar, refined",8.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Refined sweetening sugar,"USDA FoodData Central 169655 (Sugars, granulated sucrose: 387 kcal/100g)"
Coffee,Coffee powder,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Brewed coffee grounds,Infusion basis: powder imparts flavor; calories supplied by milk and sugar
Corn Peas Masala,Sweet corn,35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Sweet corn kernels,"Direct match to maize, tender, sweet"
Corn Peas Masala,Green peas,35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Green peas,Direct match to fresh green peas
Corn Peas Masala,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato gravy,"Priority cultivar: Tomato, ripe, hybrid"
Corn Peas Masala,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion gravy,"Priority cultivar: Onion, big commercial"
Corn Peas Masala,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Cornflakes,Commercial cornflakes,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Breakfast cereal flakes single serving,Commercial breakfast cereal flakes lacking IFCT profile; excluded from scoring
Cream Roll,Commercial cream roll,35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Single commercial bakery cream roll,Commercial ultra-processed cream roll lacking IFCT profile; excluded from scoring
Crispy Dal Kachori,"Wheat flour, refined",35.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Kachori crust,Direct match to maida (refined wheat flour)
Crispy Dal Kachori,"Green gram, dal",20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Moong dal filling,Direct match to moong dal (yellow/split)
Crispy Dal Kachori,Vegetable oil,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Deep frying oil uptake,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Cucumber Salad,Cucumber,60.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh sliced cucumber,Direct match to kheera (green elongate cucumber)
Cucumber Salad,Lemon,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Lemon juice dressing,Direct match to fresh lemon juice
Custard,"Milk, whole, cow",80.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Whole milk base,Direct match to cow whole milk
Custard,"Sugar, refined",12.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Refined sugar,"USDA FoodData Central 169655 (Sugars, granulated sucrose: 387 kcal/100g)"
Custard,Sweet corn,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cornstarch base proxy,"Direct match to maize, tender, sweet"
Dahi Aloo,Potato,60.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Boiled potato,"Priority cultivar: Potato, brown skin, big"
Dahi Aloo,Curd / Dahi,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Curd gravy,Fermented whole cow milk equivalent; assumes identical raw milk solids
Dahi Aloo,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Dahi Aloo,Cumin seeds,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tempering cumin,Direct match to cumin seeds (jeera)
Dal Makhani,"Black gram, whole",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Raw sabut urad issuance,Direct match to sabut urad (black dal)
Dal Makhani,Kidney beans,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Raw rajma component,"Direct match to rajmah, red"
Dal Makhani,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato puree base,"Priority cultivar: Tomato, ripe, hybrid"
Dal Makhani,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion gravy base,"Priority cultivar: Onion, big commercial"
Dal Makhani,Butter,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Butter enrichment,"USDA FoodData Central 173410 (Butter, salted, 81.1g fat/100g)"
Dal Makhani,"Milk, whole, cow",10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Milk/cream enrichment,Direct match to cow whole milk
Dal Makhani,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Dal Maratha,"Red gram, dal",30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Raw toor dal issuance,Direct match to toor dal / arhar dal
Dal Maratha,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato base,"Priority cultivar: Tomato, ripe, hybrid"
Dal Maratha,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion base,"Priority cultivar: Onion, big commercial"
Dal Maratha,"Coconut, dry",5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Roasted desiccated coconut,"Direct match to coconut, kernel, dry"
Dal Maratha,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Dal Maratha,Garlic,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Garlic cloves,"Priority cultivar: Garlic, big cloves"
Dal Palak,"Red gram, dal",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Raw toor dal issuance,Direct match to toor dal / arhar dal
Dal Palak,Spinach,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh chopped palak,Direct match to fresh palak
Dal Palak,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato base,"Priority cultivar: Tomato, ripe, hybrid"
Dal Palak,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion base,"Priority cultivar: Onion, big commercial"
Dal Palak,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Danish Bun,Commercial bun,45.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Commercial bakery sweet bun,Mapped to commercial white bread/bun baseline (USDA FDC 172685)
Dhaba Dal,"Red gram, dal",10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Toor dal component,Direct match to toor dal / arhar dal
Dhaba Dal,"Bengal gram, dal",10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Chana dal component,Direct match to chana dal
Dhaba Dal,"Green gram, dal",10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Moong dal component,Direct match to moong dal (yellow/split)
Dhaba Dal,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato base,"Priority cultivar: Tomato, ripe, hybrid"
Dhaba Dal,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion base,"Priority cultivar: Onion, big commercial"
Dhaba Dal,Ghee,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tadka ghee,Direct match to ghee with energy derived via Atwater fat factor (900 kcal/100g)
Dhaba Dal,Garlic,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Garlic cloves,"Priority cultivar: Garlic, big cloves"
Dum Aloo,Potato,60.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Baby/cut potato,"Priority cultivar: Potato, brown skin, big"
Dum Aloo,Tomato,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato gravy,"Priority cultivar: Tomato, ripe, hybrid"
Dum Aloo,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion base,"Priority cultivar: Onion, big commercial"
Dum Aloo,Curd / Dahi,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Curd gravy base,Fermented whole cow milk equivalent; assumes identical raw milk solids
Dum Aloo,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Egg Bhurji,"Egg, whole",50.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Single whole scrambled egg,Direct match to whole boiled poultry egg
Egg Bhurji,Onion,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Finely chopped onion,"Priority cultivar: Onion, big commercial"
Egg Bhurji,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Finely chopped tomato,"Priority cultivar: Tomato, ripe, hybrid"
Egg Bhurji,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Egg Bhurji,Green chilli,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Green chilli,Green chillies - all varieties composite
Egg Curry,"Egg, whole",50.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Single whole egg,Direct match to whole boiled poultry egg
Egg Curry,Tomato,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato curry base,"Priority cultivar: Tomato, ripe, hybrid"
Egg Curry,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion gravy base,"Priority cultivar: Onion, big commercial"
Egg Curry,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Egg Curry,Ginger,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Ginger,Direct match to fresh ginger
Egg Curry,Garlic,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Garlic,"Priority cultivar: Garlic, big cloves"
Fat Spread,Commercial fat spread,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Commercial table fat spread portion,Commercial margarine/fat spread lacking IFCT profile; excluded from scoring
Fryums,Commercial fryums,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fried extruded snack portion,Commercial deep-fried extruded snack lacking IFCT profile; excluded from scoring
Ghiya Masala,Bottle gourd,75.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Diced bottle gourd / lauki,Direct match to lauki / ghiya
Ghiya Masala,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato base,"Priority cultivar: Tomato, ripe, hybrid"
Ghiya Masala,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion base,"Priority cultivar: Onion, big commercial"
Ghiya Masala,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Gobhi Adraki,Cauliflower,65.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cauliflower florets,Direct match to fresh cauliflower
Gobhi Adraki,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato base,"Priority cultivar: Tomato, ripe, hybrid"
Gobhi Adraki,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion base,"Priority cultivar: Onion, big commercial"
Gobhi Adraki,Ginger,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Julienned ginger,Direct match to fresh ginger
Gobhi Adraki,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Gobhi Matar,Cauliflower,45.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cauliflower florets,Direct match to fresh cauliflower
Gobhi Matar,Green peas,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh green peas,Direct match to fresh green peas
Gobhi Matar,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato base,"Priority cultivar: Tomato, ripe, hybrid"
Gobhi Matar,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion base,"Priority cultivar: Onion, big commercial"
Gobhi Matar,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Green Chilli,Green chilli,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh green chilli garnish,Green chillies - all varieties composite
Green Peas Masala,Green peas,60.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh green peas,Direct match to fresh green peas
Green Peas Masala,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato gravy,"Priority cultivar: Tomato, ripe, hybrid"
Green Peas Masala,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion gravy,"Priority cultivar: Onion, big commercial"
Green Peas Masala,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Green Salad,Cucumber,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh sliced cucumber,Direct match to kheera (green elongate cucumber)
Green Salad,Tomato,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh sliced tomato,"Priority cultivar: Tomato, ripe, hybrid"
Green Salad,Onion,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh sliced onion,"Priority cultivar: Onion, big commercial"
Green Salad,Lemon,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Lemon juice dressing,Direct match to fresh lemon juice
Gulab Jamun,Khoa,30.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Mawa / khoa base,Direct match to khoa / mawa
Gulab Jamun,"Wheat flour, refined",10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Maida binder,Direct match to maida (refined wheat flour)
Gulab Jamun,"Sugar, refined",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Sugar syrup uptake,"USDA FoodData Central 169655 (Sugars, granulated sucrose: 387 kcal/100g)"
Gulab Jamun,Ghee,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Frying ghee uptake,Direct match to ghee with energy derived via Atwater fat factor (900 kcal/100g)
Halwa,"Wheat, semolina",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Suji / semolina,Direct match to suji / rava
Halwa,Ghee,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Ghee,Direct match to ghee with energy derived via Atwater fat factor (900 kcal/100g)
Halwa,"Sugar, refined",15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Refined sugar,"USDA FoodData Central 169655 (Sugars, granulated sucrose: 387 kcal/100g)"
Jam,Commercial jam,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Single commercial fruit jam portion,Commercial mixed fruit jam lacking generic IFCT profile; excluded from scoring
Jeera Aloo,Potato,70.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Diced potato,"Priority cultivar: Potato, brown skin, big"
Jeera Aloo,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Jeera Aloo,Cumin seeds,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cumin tempering,Direct match to cumin seeds (jeera)
Jeera Raita,Curd / Dahi,95.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Curd base,Fermented whole cow milk equivalent; assumes identical raw milk solids
Jeera Raita,Cumin seeds,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Roasted cumin powder,Direct match to cumin seeds (jeera)
Jeera Rice,"Rice, raw/parboiled",50.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Standard single serving raw rice grain,Direct match to parboiled milled rice
Jeera Rice,Ghee,3.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tempering fat,Direct match to ghee with energy derived via Atwater fat factor (900 kcal/100g)
Jeera Rice,Cumin seeds,1.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cumin tempering,Direct match to cumin seeds (jeera)
Jhal Muri,"Rice, puffed",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Puffed rice base,Direct match to murmura (puffed rice)
Jhal Muri,Groundnut / Peanut,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Roasted peanuts,Direct match to raw ground nut
Jhal Muri,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Finely chopped onion,"Priority cultivar: Onion, big commercial"
Jhal Muri,Tomato,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Finely chopped tomato,"Priority cultivar: Tomato, ripe, hybrid"
Jhal Muri,Vegetable oil,4.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Mustard oil dressing,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Jhal Muri,Green chilli,2.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Chopped green chilli,Green chillies - all varieties composite
Kachumber Salad,Cucumber,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Diced cucumber,Direct match to kheera (green elongate cucumber)
Kachumber Salad,Tomato,25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Diced tomato,"Priority cultivar: Tomato, ripe, hybrid"
Kachumber Salad,Onion,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Diced onion,"Priority cultivar: Onion, big commercial"
Kachumber Salad,Lemon,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Lemon juice dressing,Direct match to fresh lemon juice
Kadhai Paneer,Paneer,40.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Fresh paneer cubes,Direct match to fresh paneer
Kadhai Paneer,"Capsicum, green",25.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Bell pepper chunks,Direct match to green capsicum (bell pepper)
Kadhai Paneer,Tomato,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato gravy,"Priority cultivar: Tomato, ripe, hybrid"
Kadhai Paneer,Onion,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion chunks,"Priority cultivar: Onion, big commercial"
Kadhai Paneer,Vegetable oil,5.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cooking oil,Mustard oil with energy derived via Atwater fat factor (900 kcal/100g)
Kadhai Veg,"Capsicum, green",20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Bell pepper chunks,Direct match to green capsicum (bell pepper)
Kadhai Veg,Cauliflower,20.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Cauliflower florets,Direct match to fresh cauliflower
Kadhai Veg,Carrot,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Carrot,Direct match to orange carrot
Kadhai Veg,Green peas,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Green peas,Direct match to fresh green peas
Kadhai Veg,Tomato,15.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Tomato base,"Priority cultivar: Tomato, ripe, hybrid"
Kadhai Veg,Onion,10.0,RAW_INGREDIENT_GRAM_PER_SERVING,PROJECT_PORTION_ASSUMPTIONS,PROJECT_ASSUMPTION,Onion chunks,"Priority cultivar: Onion, big commercial"
